date,is_boarded,fire,homeless,address,zip_code,ward,community_area,geometry,PRI_NEIGH
2015-03-05,0,0,1,2010 W 70th pl,60636,17,67,"c(-87.6738007557487, 41.7657149526759)",Englewood
2017-01-30,0,0,0,2121 W 19th st,60608,25,31,"c(-87.6789142218893, 41.8557999839859)",Lower West Side
2016-02-23,0,0,0,8726 S saginaw ave,60617,7,46,"c(-87.5597228725768, 41.7367980141718)",South Chicago
2016-04-22,0,0,0,2124 W 72nd st,60636,17,67,"c(-87.6763988631959, 41.7629572734162)",Englewood
2015-05-22,0,0,0,6219 S kildare ave,60629,23,65,"c(-87.7301248743532, 41.7800438352882)",West Lawn
2015-12-16,0,0,0,11316 S green bay ave,60617,10,52,"c(-87.5413092961739, 41.6897512309303)",East Side
2016-08-10,0,0,0,8623 S marquette ave,60617,7,46,"c(-87.5587428925269, 41.7386839116343)",South Chicago
2015-07-01,0,0,1,2977 N ridgeway ave,60618,30,21,"c(-87.7193969410973, 41.9354544706075)",Avondale
2015-02-04,0,0,1,5630 W grace st,60634,38,15,"c(-87.7676199383201, 41.9495208405523)",Portage Park
2016-06-13,0,1,1,106 W 113th pl,60628,34,49,"c(-87.6258138294107, 41.688010512803)",Roseland
2017-05-28,0,0,0,6410 S sangamon st,60621,16,68,"c(-87.6483761968608, 41.7776935984018)",Englewood
2016-11-14,0,1,1,4649 W washington blvd,60644,28,25,"c(-87.7415765654476, 41.8818593008522)",Austin
2016-12-05,0,0,0,2726 E 76th st,60649,7,43,"c(-87.5577256734605, 41.7574887757711)",South Shore
2016-01-04,0,0,0,11742 S yale ave,60628,34,53,"c(-87.6287501423785, 41.6808288273904)",West Pullman
2015-10-27,0,0,0,10403 S cottage grove ave,60628,9,50,"c(-87.6069442232498, 41.7055028227511)",Roseland
2015-06-12,0,0,0,4041 W jackson blvd,60624,28,26,"c(-87.7265617811186, 41.8770749080603)",Garfield Park
2015-04-28,0,1,0,11817 S perry ave,60628,34,53,"c(-87.6251621566537, 41.6795052300165)",West Pullman
2016-09-07,0,0,1,6833 S calumet ave,60637,20,69,"c(-87.6169983327698, 41.7705199249594)",Grand Crossing
2015-06-19,0,0,1,2212 W 50th pl,60609,15,63,"c(-87.6801310505148, 41.8020807084258)",Gage Park
2015-10-21,0,0,1,7628 S eberhart ave,60619,6,69,"c(-87.6126206533527, 41.7561118999266)",Grand Crossing
2017-03-02,0,1,1,319 N avers ave,60624,37,26,"c(-87.7225043304238, 41.8858339611933)",Garfield Park
2015-11-20,0,0,0,2247 W 71st st,60636,18,66,"c(-87.6798327960442, 41.7647427348945)",Chicago Lawn
2015-09-15,1,0,1,8520 S burley ave,60617,10,46,"c(-87.5453903598527, 41.7407328338111)",South Chicago
2015-04-20,0,0,0,2215 W winona st,60625,47,4,"c(-87.6846260287555, 41.974983102555)",Lincoln Square
2017-02-03,0,0,0,7927 S greenwood ave,60619,8,44,"c(-87.5979031831615, 41.7508727436412)",Chatham
2017-03-02,0,0,1,264 W 105th pl,60628,34,49,"c(-87.6298614645334, 41.7025270165578)",Roseland
2015-12-04,0,0,0,3926 W 85th pl,60652,18,70,"c(-87.7196717536522, 41.7375459883867)",Ashburn
2017-08-02,1,0,0,554 N long ave,60644,37,25,"c(-87.7604699592036, 41.890263053878)",Austin
2017-02-23,0,0,0,10709 S forest ave,60628,9,49,"c(-87.6159970020236, 41.6996841649023)",Roseland
2017-04-28,0,0,0,2322 S trumbull ave,60623,22,30,"c(-87.7112758813845, 41.8494713602313)",Little Village
2017-04-10,0,1,1,5542 S ada st,60636,16,67,"c(-87.6584913499752, 41.7931293048382)",Englewood
2015-03-31,0,0,0,6842 S lowe ave,60621,6,68,"c(-87.640239428312, 41.7699542994797)",Englewood
2017-02-16,0,0,0,5648 S damen ave,60636,15,67,"c(-87.6742216200567, 41.7912116791344)",Englewood
2015-07-26,0,0,0,7913 S avalon ave,60619,8,45,"c(-87.5942663640136, 41.7511604481003)",Avalon Park
2015-07-13,1,1,0,9800 S eggleston ave,60628,21,73,"c(-87.6338386245902, 41.7161285663733)",Washington Heights
2015-01-20,0,0,1,11742 S wentworth ave,60628,34,53,"c(-87.6275507836476, 41.6808379480021)",West Pullman
2015-12-09,0,0,0,5217 S justine st,60609,16,61,"c(-87.6635081501853, 41.7991997001749)",New City
2017-02-10,0,1,0,5517 W rice st,60651,37,25,"c(-87.763911903348, 41.8957754372972)",Austin
2016-04-19,0,0,0,8452 S blackstone ave,60619,8,45,"c(-87.5879479895352, 41.7411470665639)",Avalon Park
2015-09-18,0,0,0,8514 S buffalo ave,60617,10,46,"c(-87.5441875109909, 41.7408552452982)",South Chicago
2016-02-06,0,1,0,4454 W belmont ave,60641,30,16,"c(-87.7386939566957, 41.938939552235)",Irving Park
2015-09-07,0,0,1,213 W 112th st,60628,34,49,"c(-87.6281735418498, 41.6907086793606)",Roseland
2016-08-03,0,0,1,6858 N western ave,60645,50,2,"c(-87.6901018451078, 42.0063773935932)",West Ridge
