date,is_boarded,fire,homeless,address,zip_code,ward,community_area,latitude,longitude
2018-04-26,0,0,0,6113 N nagle ave,60646,39,10,41.99188099522947,-87.7875681151609
2018-04-26,0,0,0,5149 S wood st,60609,16,61,41.800376118223795,-87.6696209107931
2018-04-26,0,1,0,8147 S colfax ave,60617,7,46,41.74729836717118,-87.56130827071055
2018-04-26,1,0,1,6121 S racine ave,60636,16,68,41.78285969156057,-87.65458485510425
2018-04-26,0,0,1,7524 S evans ave,60619,6,69,41.75811787017226,-87.60661884228763
2018-04-26,0,1,0,7142 S vernon ave,60619,6,69,41.76495722367139,-87.6140365243645
2018-04-26,0,0,0,2023 E 72nd pl,60649,5,43,41.76343750389882,-87.57565542589467
2018-04-26,0,0,0,11654 S wallace st,60628,34,53,41.68187360148122,-87.63721378684842
2018-11-27,0,0,1,6828 S winchester ave,60636,17,67,41.76975906072557,-87.67244545102454
2018-11-27,0,0,1,303 E 136th st,60827,9,54,41.64792349085323,-87.6147643909467
2018-11-27,0,0,1,11844 S union ave,60628,34,53,41.67887051429082,-87.6395326522908
2018-11-27,0,0,0,10637 S springfield ave,60655,19,74,41.69975286455136,-87.71821720689515
2018-11-27,0,1,1,6156 S francisco ave,60629,16,66,41.78169356696358,-87.69590269928061
2018-11-27,0,0,1,7639 S colfax ave,60649,7,43,41.75651989105012,-87.56147647148599
2018-11-27,0,0,1,821 N lawndale ave,60651,27,23,41.89582337742152,-87.71876730792938
2018-11-27,0,0,0,3947 N newland ave,60634,38,17,41.95175988084386,-87.79988165654552
2018-11-27,0,0,0,7822 S emerald ave,60620,17,71,41.75246935006882,-87.642868525175615
2018-11-27,0,0,0,11629 S lafayette ave,60628,34,53,41.68224128779422,-87.6240290359461
2018-04-27,0,0,0,7222 S euclid ave,60649,5,43,41.76368063945024,-87.57808559633982
2018-04-27,0,0,0,8457 S morgan st,60620,21,71,41.74041386610044,-87.64860576017306
2018-04-27,0,0,1,9617 S peoria st,60643,21,73,41.719004708039,-87.64558196806962
2018-04-27,0,0,0,8314 S colfax ave,60617,7,46,41.74426853805713,-87.5612564809885
2018-04-27,0,0,1,8034 S lafayette ave,60620,17,44,41.74847882744647,-87.6257575470638
2018-04-27,0,0,0,4812 S drexel blvd,60615,4,39,41.80751773287568,-87.60432989089972
2018-04-27,0,0,1,322 W 106th st,60628,34,49,41.7015992475149,-87.63122067417316
2018-04-27,0,0,1,7736 S euclid ave,60649,8,43,41.75456603400215,-87.57727216381666
2018-04-27,0,0,1,4202 W 25th st,60623,22,30,41.84601240795395,-87.72950202937615
2018-11-28,0,0,0,2609 W lithuanian plaza ct,60629,17,66,41.76825092132473,-87.68859035398
2018-11-28,1,1,0,7943 S justine st,60620,21,71,41.74944076604568,-87.66220168175536
2018-09-20,0,0,0,8007 S maryland ave,60619,8,44,41.749343157109394,-87.6039152813327
2018-11-28,0,0,0,6215 N california ave,60659,50,2,41.99424938401699,-87.69952509994084
2018-11-28,1,0,0,7028 S merrill ave,60649,5,43,41.767190250000205,-87.57265740002536
2018-11-28,1,0,1,8616 S emerald ave,60620,21,71,41.737773959582185,-87.64281507804596
2018-11-28,0,0,0,4642 W monroe st,60644,28,25,41.87929262822678,-87.74150995123323
2018-11-28,0,0,1,8699 S burnham ave,60617,10,46,41.73732043329538,-87.55628772243388
2018-11-28,0,0,0,6549 S justine st,60636,16,67,41.77494865417702,-87.66286545729812
2018-11-28,0,0,0,6228 N livermore ave,60646,39,12,41.9935891395174,-87.7665260308496
2018-11-28,0,0,1,1858 S harding ave,60623,24,29,41.85585744622422,-87.72362331315647
2018-11-28,1,0,1,10111 S eberhart ave,60628,9,49,41.71079532136693,-87.61142360496513
2018-04-29,0,1,0,11415 S calumet ave,60628,9,49,41.686778489459165,-87.61441398041359
2018-04-29,0,0,1,1845 S keeler ave,60623,24,29,41.856057551357864,-87.72975914122316
2018-11-29,1,0,0,2937 W 40th st,60632,12,58,41.820927233234094,-87.69798909937184
2018-11-29,0,0,0,6910 S kimbark ave,60637,5,69,41.76968169796156,-87.59403782839493
2018-11-29,0,0,0,6036 S loomis blvd,60636,16,67,41.78433607484711,-87.65947973029046
2018-11-29,1,0,1,4652 W west end ave,60644,28,25,41.88318564733223,-87.74045602867066
2018-06-26,0,0,1,6325 S fairfield ave,60629,17,66,41.778656691482006,-87.69216359891605
2018-11-29,0,1,1,333 W 107th pl,60628,34,49,41.69886657792085,-87.63105687766918
2018-11-29,1,0,0,1419 S tripp ave,60623,24,29,41.86208237109667,-87.73116383898859
2018-11-29,0,0,0,7414 S may st,60621,17,68,41.75940786638831,-87.65275486211114
2018-11-29,1,0,0,2918 N hamlin ave,60618,30,21,41.93421695067963,-87.72214734975597
2018-04-30,0,0,0,1728 E 85th pl,60617,8,45,41.7396934885627,-87.5821925318109
2018-04-30,0,0,0,8044 S woodlawn ave,60619,8,45,41.748747801032074,-87.5954270193051
2018-04-30,0,0,0,65 W 103rd st,60628,34,49,41.70713962008542,-87.62535115357441
2018-11-29,0,0,1,8748 S dorchester ave,NA,8,48,41.735964788189754,-87.59054698943831
2018-11-29,0,0,0,7410 S may st,60621,17,68,41.75946687603137,-87.65275607120392
2018-04-30,0,0,1,6425 S honore st,60636,15,67,41.77711321377712,-87.67023557024964
2018-11-29,0,1,0,5437 W george st,60641,31,19,41.933143320502104,-87.76275091475716
2018-11-29,0,0,0,6519 S laflin st,60636,16,67,41.775518338054695,-87.66167126620373
2018-11-29,0,0,0,5533 S wolcott ave,60636,15,67,41.79309309462711,-87.67184030120832
2018-11-29,1,0,0,4412 S shields ave,60609,3,37,41.81412016732326,-87.63465190483569
2018-11-29,1,0,0,7530 S may st,60620,17,71,41.75711492509475,-87.65269882006426
2018-04-30,1,0,0,6741 S campbell ave,60629,17,66,41.7712315665649,-87.68586204059702
2018-04-30,0,0,0,8013 S south chicago ave,60617,8,46,41.749438868533716,-87.58271974150972
2018-04-30,0,0,0,1845 W greenleaf ave,60626,49,1,42.010153141650775,-87.67695302424104
2018-04-30,0,0,0,9218 S lowe ave,60620,21,73,41.7266577644375,-87.63971175625574
2018-04-30,0,1,0,1817 S kedzie ave,60623,24,29,41.85733782466086,-87.70541345337708
2018-04-30,0,0,0,8218 S anthony ave,60617,8,45,41.74575462933282,-87.58078656658728
